,temp,hum,windspeed,atemp,cnt
347,0.3,0.45,0.2836,0.2879,44
348,0.26,0.56,0.0,0.303,39
349,0.26,0.56,0.1343,0.2727,23
350,0.26,0.56,0.0896,0.2879,16
351,0.22,0.69,0.0,0.2727,15
352,0.26,0.56,0.1642,0.2576,1
353,0.26,0.56,0.1642,0.2576,2
354,0.26,0.56,0.1642,0.2576,1
355,0.24,0.56,0.2985,0.2121,3
356,0.22,0.55,0.2836,0.2121,18
357,0.22,0.51,0.2537,0.2121,32
358,0.22,0.51,0.2836,0.2121,79
359,0.24,0.44,0.2537,0.2273,93
360,0.24,0.41,0.2836,0.2121,104
361,0.26,0.35,0.2985,0.2273,118
362,0.28,0.36,0.2537,0.2727,91
363,0.26,0.38,0.2537,0.2424,113
364,0.24,0.38,0.2239,0.2273,99
365,0.22,0.37,0.2537,0.2121,105
366,0.2,0.4,0.1642,0.2121,67
367,0.18,0.47,0.1343,0.197,61
368,0.18,0.47,0.1642,0.197,57
369,0.18,0.51,0.1642,0.197,28
370,0.2,0.49,0.1343,0.2121,21
371,0.2,0.4,0.1045,0.2273,18
372,0.2,0.47,0.2239,0.197,17
373,0.2,0.44,0.194,0.197,16
374,0.18,0.43,0.2537,0.1667,8
375,0.18,0.43,0.194,0.1818,2
376,0.18,0.43,0.1343,0.197,3
377,0.18,0.43,0.1642,0.197,1
378,0.18,0.43,0.194,0.1818,5
379,0.16,0.5,0.1343,0.1818,13
380,0.16,0.47,0.2239,0.1515,33
381,0.16,0.47,0.2239,0.1515,47
382,0.16,0.5,0.2537,0.1515,57
383,0.16,0.55,0.194,0.1515,64
384,0.18,0.47,0.1343,0.197,80
385,0.18,0.47,0.1343,0.197,93
386,0.18,0.43,0.1045,0.2121,86
387,0.2,0.47,0.1642,0.2121,93
388,0.2,0.47,0.1642,0.2121,82
389,0.2,0.51,0.194,0.197,71
390,0.18,0.55,0.2537,0.1667,92
391,0.18,0.59,0.194,0.1818,60
392,0.16,0.8,0.194,0.1515,33
393,0.16,0.8,0.194,0.1515,27
394,0.14,0.93,0.2537,0.1212,13
395,0.16,0.86,0.2836,0.1364,4
396,0.2,0.86,0.3284,0.1818,3
397,0.2,0.86,0.2239,0.197,22
398,0.22,0.8,0.1642,0.2273,28
399,0.22,0.87,0.1642,0.2273,35
400,0.22,0.87,0.194,0.2273,61
401,0.22,0.82,0.194,0.2273,125
402,0.22,0.8,0.1642,0.2273,133
403,0.22,0.8,0.1343,0.2273,99
404,0.22,0.87,0.0,0.2727,83
405,0.22,0.93,0.1045,0.2424,41
406,0.22,0.93,0.0896,0.2576,33
407,0.22,0.93,0.0,0.2727,20
408,0.22,0.93,0.0,0.2727,3
409,0.22,0.93,0.1343,0.2273,7
410,0.22,0.93,0.1343,0.2273,3
411,0.22,0.93,0.1343,0.2273,2
412,0.22,0.93,0.0896,0.2576,7
413,0.22,0.93,0.0896,0.2576,32
414,0.24,0.92,0.1045,0.2576,90
415,0.24,0.93,0.1045,0.2576,197
416,0.24,0.93,0.1045,0.2576,109
417,0.26,0.93,0.1343,0.2727,47
418,0.28,0.87,0.0896,0.303,52
419,0.3,0.81,0.0896,0.3182,70
420,0.4,0.62,0.2836,0.4091,78
421,0.4,0.58,0.2537,0.4091,75
422,0.4,0.54,0.2836,0.4091,82
423,0.38,0.58,0.3881,0.3939,104
424,0.36,0.57,0.3284,0.3333,197
425,0.34,0.61,0.2836,0.3182,161
426,0.32,0.57,0.4179,0.2879,112
427,0.32,0.49,0.2985,0.303,76
428,0.32,0.49,0.4179,0.2879,59
429,0.3,0.52,0.1642,0.303,59
430,0.3,0.52,0.4627,0.2727,28
431,0.26,0.56,0.3881,0.2273,13
432,0.26,0.56,0.0,0.2727,5
433,0.26,0.56,0.0,0.2727,2
434,0.26,0.56,0.1642,0.2576,1
435,0.26,0.56,0.1642,0.2576,1
436,0.24,0.6,0.2239,0.2273,6
437,0.22,0.6,0.2239,0.2121,35
438,0.22,0.55,0.2239,0.2121,101
439,0.22,0.55,0.2836,0.2121,249
440,0.24,0.52,0.2239,0.2273,143
441,0.26,0.48,0.2985,0.2273,57
442,0.28,0.45,0.1642,0.2727,68
443,0.3,0.42,0.0,0.3333,84
444,0.28,0.45,0.1045,0.2879,98
445,0.3,0.45,0.1343,0.303,81
446,0.32,0.45,0.194,0.3182,70
447,0.3,0.49,0.1343,0.303,91
448,0.3,0.49,0.1045,0.3182,215
449,0.26,0.56,0.194,0.2576,185
450,0.26,0.56,0.3284,0.2273,152
451,0.26,0.6,0.2836,0.2424,126
452,0.24,0.6,0.2537,0.2273,57
453,0.24,0.65,0.2836,0.2121,56
454,0.24,0.65,0.3284,0.2121,31
455,0.24,0.7,0.2537,0.2273,21
456,0.24,0.7,0.2537,0.2273,6
457,0.24,0.75,0.1642,0.2424,2
458,0.22,0.8,0.2985,0.2121,1
459,0.22,0.87,0.0896,0.2576,1
460,0.24,0.6,0.4179,0.197,5
461,0.22,0.55,0.2537,0.2121,27
462,0.2,0.51,0.2836,0.1818,68
463,0.2,0.47,0.3284,0.1818,217
464,0.2,0.51,0.3582,0.1818,166
465,0.2,0.47,0.4627,0.1667,63
466,0.22,0.41,0.4627,0.1818,59
467,0.22,0.27,0.5821,0.1818,78
468,0.2,0.21,0.5821,0.1515,73
469,0.2,0.25,0.5224,0.1515,62
470,0.16,0.26,0.4478,0.1212,65
471,0.16,0.26,0.3582,0.1364,97
472,0.14,0.28,0.3582,0.1212,161
473,0.12,0.3,0.2537,0.1212,120
474,0.12,0.3,0.3284,0.1061,96
475,0.1,0.33,0.4179,0.0758,53
476,0.08,0.38,0.2836,0.0758,41
477,0.06,0.41,0.3881,0.0303,34
478,0.06,0.38,0.3284,0.0455,27
479,0.04,0.45,0.2537,0.0303,13
480,0.04,0.41,0.3881,0.0,12
481,0.04,0.41,0.2537,0.0303,11
482,0.04,0.41,0.2836,0.0303,7
483,0.02,0.48,0.2985,0.0152,3
484,0.02,0.44,0.2239,0.0303,2
485,0.02,0.44,0.2836,0.0152,8
486,0.02,0.44,0.3284,0.0,27
487,0.04,0.41,0.2537,0.0303,40
488,0.04,0.41,0.1642,0.0606,53
489,0.06,0.38,0.1343,0.0758,63
490,0.06,0.38,0.1045,0.1061,70
491,0.08,0.35,0.0,0.1667,84
492,0.1,0.33,0.1045,0.1364,75
493,0.12,0.28,0.0,0.1515,103
494,0.12,0.28,0.194,0.1364,83
495,0.12,0.28,0.0,0.197,67
496,0.08,0.35,0.194,0.0909,54
497,0.08,0.35,0.1343,0.1061,59
498,0.06,0.45,0.1642,0.0758,45
499,0.06,0.41,0.0896,0.1061,39
500,0.06,0.49,0.0,0.1515,30
501,0.04,0.57,0.1045,0.0758,33
502,0.04,0.57,0.1045,0.0758,22
503,0.04,0.57,0.1045,0.0758,13
504,0.02,0.62,0.1343,0.0606,18
505,0.02,0.62,0.1343,0.0606,5
506,0.04,0.57,0.1045,0.0758,3
507,0.04,0.57,0.1045,0.0758,1
508,0.08,0.58,0.1642,0.1061,2
509,0.06,0.62,0.1642,0.0758,19
510,0.1,0.54,0.3582,0.0758,28
511,0.14,0.46,0.3881,0.1061,58
512,0.14,0.43,0.2239,0.1364,99
513,0.16,0.37,0.4627,0.1212,116
514,0.14,0.33,0.3881,0.1061,87
515,0.16,0.28,0.3582,0.1364,110
516,0.16,0.28,0.3582,0.1364,77
517,0.16,0.26,0.3284,0.1364,65
518,0.14,0.26,0.3881,0.1061,55
519,0.12,0.3,0.2537,0.1212,49
520,0.12,0.3,0.2836,0.1212,50
521,0.1,0.36,0.2537,0.1061,35
522,0.1,0.36,0.194,0.1061,25
523,0.08,0.38,0.194,0.0909,28
524,0.06,0.41,0.2239,0.0606,21
525,0.06,0.41,0.194,0.0606,7
526,0.04,0.45,0.194,0.0455,1
527,0.04,0.45,0.2537,0.0303,1
528,0.02,0.48,0.1343,0.0606,1
529,0.02,0.48,0.1343,0.0606,5
530,0.02,0.48,0.0896,0.0758,15
531,0.02,0.48,0.0,0.1212,84
532,0.04,0.49,0.0,0.1364,177
533,0.06,0.41,0.0,0.1515,102
534,0.1,0.42,0.0,0.1364,40
535,0.1,0.46,0.1343,0.1212,46
536,0.12,0.42,0.194,0.1364,63
537,0.14,0.43,0.2239,0.1364,60
538,0.14,0.46,0.2239,0.1364,45
539,0.16,0.4,0.1642,0.1667,57
540,0.16,0.47,0.2537,0.1515,70
541,0.14,0.5,0.2537,0.1212,184
542,0.14,0.59,0.194,0.1364,153
543,0.14,0.54,0.1642,0.1515,106
544,0.14,0.59,0.194,0.1364,81
545,0.14,0.63,0.1642,0.1515,59
546,0.14,0.63,0.2239,0.1364,35
547,0.16,0.64,0.2537,0.1515,24
548,0.16,0.69,0.2836,0.1364,9
549,0.16,0.69,0.1642,0.1667,5
550,0.16,0.69,0.2239,0.1515,2
551,0.14,0.74,0.1045,0.1667,1
552,0.14,0.74,0.2239,0.1364,9
553,0.16,0.74,0.1045,0.1818,36
554,0.16,0.74,0.2239,0.1515,108
555,0.16,0.74,0.1343,0.1818,238
556,0.2,0.64,0.0896,0.2273,144
557,0.22,0.6,0.1045,0.2424,55
558,0.24,0.6,0.1343,0.2424,61
559,0.26,0.56,0.0896,0.2879,106
560,0.26,0.56,0.1343,0.2727,93
561,0.3,0.45,0.0,0.3333,68
562,0.32,0.42,0.0,0.3485,84
563,0.32,0.42,0.0,0.3485,116
564,0.3,0.45,0.0,0.3333,222
565,0.3,0.49,0.0896,0.3182,225
566,0.26,0.65,0.1642,0.2576,146
567,0.24,0.65,0.194,0.2273,119
568,0.24,0.65,0.194,0.2273,45
569,0.22,0.64,0.1642,0.2273,53
570,0.22,0.64,0.1642,0.2273,40
571,0.22,0.69,0.1343,0.2273,17
572,0.24,0.65,0.1343,0.2424,5
573,0.22,0.69,0.194,0.2273,10
574,0.2,0.86,0.2836,0.1818,1
575,0.2,0.86,0.2836,0.1818,8
576,0.22,0.87,0.2985,0.2121,30
577,0.22,0.87,0.2985,0.2121,72
578,0.22,0.87,0.2985,0.2121,58
579,0.22,0.93,0.2836,0.2121,28
580,0.22,0.93,0.3284,0.197,41
581,0.22,0.93,0.3284,0.197,48
582,0.22,0.93,0.3284,0.197,47
583,0.22,0.93,0.3582,0.197,36
584,0.22,0.93,0.4627,0.1818,43
585,0.22,0.93,0.3284,0.197,36
586,0.2,0.93,0.3582,0.1818,26
587,0.22,0.55,0.194,0.2273,24
588,0.22,0.55,0.1045,0.2424,84
589,0.2,0.69,0.0896,0.2273,104
590,0.2,0.69,0.0896,0.2273,79
591,0.18,0.74,0.0896,0.2121,59
592,0.18,0.74,0.0896,0.2121,38
593,0.18,0.74,0.0896,0.2121,27
594,0.18,0.8,0.1642,0.197,16
595,0.2,0.75,0.1343,0.2121,9
596,0.2,0.75,0.1343,0.2121,3
597,0.2,0.75,0.1642,0.2121,2
598,0.2,0.75,0.1045,0.2273,1
599,0.18,0.8,0.1045,0.2121,4
600,0.18,0.8,0.1343,0.197,16
601,0.16,0.86,0.0896,0.197,60
602,0.16,0.86,0.0896,0.197,157
603,0.18,0.86,0.0896,0.2121,101
604,0.18,0.86,0.1045,0.2121,49
605,0.18,0.93,0.1045,0.2121,30
606,0.18,0.93,0.1045,0.2121,29
607,0.18,0.93,0.1045,0.2121,31
608,0.22,0.8,0.0,0.2727,38
609,0.2,0.86,0.0,0.2576,41
610,0.22,0.8,0.0,0.2727,80
611,0.24,0.75,0.1343,0.2424,149
612,0.24,0.75,0.194,0.2273,109
613,0.24,0.75,0.1343,0.2424,89
614,0.24,0.7,0.194,0.2273,62
615,0.22,0.75,0.1343,0.2273,58
616,0.24,0.65,0.3582,0.2121,26
617,0.24,0.6,0.2239,0.2273,23
618,0.22,0.64,0.3582,0.197,28
619,0.22,0.64,0.194,0.2273,20
620,0.22,0.64,0.1642,0.2273,15
621,0.2,0.64,0.1343,0.2121,8
622,0.16,0.69,0.1045,0.1818,3
623,0.16,0.64,0.1343,0.1818,2
624,0.16,0.59,0.1045,0.1818,5
625,0.18,0.55,0.1642,0.197,34
626,0.18,0.59,0.0896,0.2121,34
627,0.18,0.64,0.1045,0.2121,55
628,0.18,0.64,0.1343,0.197,64
629,0.2,0.59,0.194,0.197,78
630,0.22,0.55,0.1642,0.2273,65
631,0.22,0.6,0.1343,0.2273,99
632,0.22,0.69,0.2537,0.2121,120
633,0.24,0.6,0.1642,0.2424,107
634,0.24,0.6,0.0,0.2879,91
635,0.22,0.69,0.1343,0.2273,68
636,0.22,0.69,0.2537,0.2121,58
637,0.18,0.74,0.0896,0.2121,43
638,0.18,0.74,0.0896,0.2121,36
639,0.16,0.8,0.0896,0.197,32
640,0.16,0.8,0.0896,0.197,33
641,0.16,0.8,0.1045,0.1818,33
642,0.14,0.8,0.0,0.2121,29
643,0.16,0.8,0.0,0.2273,11
